id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10233263;Apartment in Copacabana;52590431;Bruno;;Copacabana;-22.98287619;-43.19262262;Entire home/apt;1116;1;7;28/09/2017;0.21;1;365
16532259;Excelente 2 quartos 2 ruas da praia de Copacabana;15311839;Rose;;Copacabana;-22.97004394;-43.1872632;Entire home/apt;500;7;0;;;4;363
23476870;4 quartos, luxo e requinte ao seu alcance.;8975746;Laura;;Copacabana;-22.97089972;-43.18594572;Entire home/apt;1112;3;0;;;40;364
12900932;Apartamento Florais Posto 4;70668128;Jacqueline;;Copacabana;-22.97511549;-43.18871085;Entire home/apt;1089;15;0;;;1;177
18346333;Família a base de tudo!;114877442;Eliane;;Copacabana;-22.96999465;-43.18608459;Private room;192;1;0;;;2;365
27460932;Apto Dom Ferr;206936060;Paulo;;Copacabana;-22.97262614;-43.18791637;Entire home/apt;169;4;0;;;1;354
2064302;Apartamento em Copacabana;10562212;Luiz Fernando;;Copacabana;-22.96469382;-43.17430625;Entire home/apt;131;3;4;10/09/2018;0.79;1;299
25884916;Apartamento 709;182971411;Rosane;;Copacabana;-22.97495352;-43.18784965;Entire home/apt;131;3;5;9/09/2018;1.27;2;164
4467174;MEERBLICK TROPICAL SUITE   CK;23141333;Kai;;Copacabana;-22.96571741;-43.17487359;Entire home/apt;255;2;7;16/02/2018;0.21;2;84
23077196;Rio Rentals 021 - C001 Super reformed studio in Copacabana, hyper comfortable for up to 4 people.;171256195;Andre;;Copacabana;-22.96459442;-43.17539501;Entire home/apt;218;2;0;;;15;139
28540355;Amplo quarto com varanda em Copacabana;62531913;Renata;;Copacabana;-22.96207988;-43.17492696;Private room;79;2;0;;;2;364
24414405;Private Room - 2 blocks From Copacabana Beach;69104114;Marcel;;Copacabana;-22.9834551;-43.19154406;Private room;94;2;13;27/09/2018;2.29;1;65
17681761;Copacabana - quadra da praia - 4 pessoas;80055342;Eliana;;Copacabana;-22.9640502;-43.17487236;Entire home/apt;222;3;0;;;4;257
15805730;Copacabana / Ipanema - Pleasant 2 bedrooms !;91654021;Daniel;;Copacabana;-22.98467868;-43.19316989;Entire home/apt;278;2;0;;;213;340
2478791;APART-HOTEL in Copacabana - 1 BR b;10712658;Manfred;;Copacabana;-22.98550297;-43.19068414;Entire home/apt;999;60;1;12/07/2015;0.03;14;0
3167417;Copacabana Luxury 3 Suites;15635229;Carlos;;Copacabana;-22.96551569;-43.17608346;Entire home/apt;1014;3;7;25/08/2018;0.13;3;300
13846331;EXCELENT APARTMENT IN THE BEST PLACE OF COPACABANA;81739205;Joao;;Copacabana;-22.9646408;-43.17561491;Entire home/apt;300;5;1;21/08/2016;0.04;2;0
10682417;Copacabana - Oasis in the city for the Carnaval.;26093368;Wallace;;Copacabana;-22.972322;-43.1847569;Entire home/apt;800;5;0;;;1;89
26607708;AMAZING VIEW 3 QUARTOS FRENTE MAR;198910828;André;;Copacabana;-22.96484718;-43.17512389;Entire home/apt;800;3;1;9/09/2018;0.88;4;336
17295209;PTOLOMEU 704  50m do mar/600m do metrô;12869355;Allan;;Copacabana;-22.9688757;-43.1826294;Entire home/apt;199;3;0;;;4;322
2940010;A Pérola de Copacabana;15010837;Marcus;;Copacabana;-22.96922028;-43.18174523;Entire home/apt;800;3;0;;;1;365
7346769;Copanema Two Bedroom;3413189;Chad;;Copacabana;-22.98166809;-43.19137193;Entire home/apt;545;3;0;;;57;364
10411637;Copacabana Apartment;20568689;Lilliane;;Copacabana;-22.98431527;-43.19215663;Entire home/apt;1878;3;0;;;2;363
