id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10233263,Apartment in Copacabana,52590431,Bruno,,Copacabana,-22.982876193643893,-43.19262262003024,Entire home/apt,1116,1,7,2017-09-28,0.21,1,365
16532259,Excelente 2 quartos 2 ruas da praia de Copacabana,15311839,Rose,,Copacabana,-22.970043941552984,-43.187263203281056,Entire home/apt,500,7,0,,,4,363
"23476870,""4 quartos, luxo e requinte ao seu alcance."",8975746,Laura,,Copacabana,-22.970899715955493,-43.185945724777035,Entire home/apt,1112,3,0,,,40,364"
12900932,Apartamento Florais Posto 4,70668128,Jacqueline,,Copacabana,-22.975115494101438,-43.188710853088466,Entire home/apt,1089,15,0,,,1,177
18346333,Família a base de tudo!,114877442,Eliane,,Copacabana,-22.969994649918803,-43.18608458724308,Private room,192,1,0,,,2,365
27460932,Apto Dom Ferr,206936060,Paulo,,Copacabana,-22.972626138876713,-43.18791637377302,Entire home/apt,169,4,0,,,1,354
2064302,Apartamento em Copacabana,10562212,Luiz Fernando,,Copacabana,-22.964693818159468,-43.17430625046753,Entire home/apt,131,3,4,2018-09-10,0.79,1,299
25884916,Apartamento 709,182971411,Rosane,,Copacabana,-22.974953523980684,-43.1878496506425,Entire home/apt,131,3,5,2018-09-09,1.27,2,164
4467174,MEERBLICK TROPICAL SUITE   CK,23141333,Kai,,Copacabana,-22.965717412570328,-43.17487359186984,Entire home/apt,255,2,7,2018-02-16,0.21,2,84
"23077196,""Rio Rentals 021 - C001 Super reformed studio in Copacabana, hyper comfortable for up to 4 people."",171256195,Andre,,Copacabana,-22.964594415650225,-43.17539500582481,Entire home/apt,218,2,0,,,15,139"
28540355,Amplo quarto com varanda em Copacabana,62531913,Renata,,Copacabana,-22.962079880105808,-43.17492696164764,Private room,79,2,0,,,2,364
24414405,Private Room - 2 blocks From Copacabana Beach,69104114,Marcel,,Copacabana,-22.98345509879738,-43.1915440610161,Private room,94,2,13,2018-09-27,2.29,1,65
17681761,Copacabana - quadra da praia - 4 pessoas,80055342,Eliana,,Copacabana,-22.96405020278566,-43.17487235721126,Entire home/apt,222,3,0,,,4,257
15805730,Copacabana / Ipanema - Pleasant 2 bedrooms !,91654021,Daniel,,Copacabana,-22.984678684360755,-43.19316989116255,Entire home/apt,278,2,0,,,213,340
2478791,APART-HOTEL in Copacabana - 1 BR b,10712658,Manfred,,Copacabana,-22.985502969262864,-43.19068414008909,Entire home/apt,999,60,1,2015-07-12,0.03,14,0
3167417,Copacabana Luxury 3 Suites,15635229,Carlos,,Copacabana,-22.965515691275975,-43.17608345986411,Entire home/apt,1014,3,7,2018-08-25,0.13,3,300
13846331,EXCELENT APARTMENT IN THE BEST PLACE OF COPACABANA,81739205,Joao,,Copacabana,-22.964640796178088,-43.175614912351726,Entire home/apt,300,5,1,2016-08-21,0.04,2,0
