id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
2362174; #RIO FANTASTIC VIEW OF BARRA BEACH;12050153;Maria Soledad;;Barra da Tijuca;-23.01229607;-43.29271602;Private room;1052;2;0;;;1;365
75585; Copacabana 2 BR Penthouse Duplex;401375;Stefan;;Copacabana;-22.98238375;-43.19366318;Entire home/apt;334;5;84;10/05/2018;0.91;1;306
3205239; COPACABANA FOR A COUPLE;16235273;Josilda;;Copacabana;-22.97148702;-43.18794342;Private room;530;1;0;;;1;365
2835748; perfect sale;14506196;Viviane;;Tijuca;-22.93943313;-43.24932412;Entire home/apt;398;1;3;13/02/2018;0.09;3;365
833936; Very Quiet House in Gloria;4362431;Pauline And Rodrigo;;Glória;-22.91926047;-43.17670835;Entire home/apt;101;2;89;29/05/2018;1.29;4;298
22299566;(Hidden by Airbnb) ★Ataulfo (Phone number hidden by Airbnb) ★;81876389;Mario;;Leblon;-22.98326682;-43.2164112;Entire home/apt;327;3;1;18/06/2018;0.26;42;325
27092518;(Hidden by Airbnb) ★Clara (Phone number hidden by Airbnb) ★;81876389;Mario;;Copacabana;-22.9724395;-43.18790034;Entire home/apt;101;3;0;;;42;344
25183959;(Hidden by Airbnb) ★Gustavo 601★;81876389;Mario;;Leme;-22.96161967;-43.16852123;Entire home/apt;135;3;0;;;42;210
13858488;(Hidden by Airbnb) ★Prudente 402★;81876389;Mario;;Ipanema;-22.98602402;-43.21052472;Entire home/apt;304;2;5;19/09/2018;1.14;42;318
3163729;@ Quartos Bairro Peixoto COPA;16048314;Denis;;Copacabana;-22.96428652;-43.19100547;Entire home/apt;849;1;0;;;1;0
10906469;>> EXCELLENT LOCATION right by the metro IPANEMA;4200460;Fabio;;Ipanema;-22.9828134;-43.19779657;Entire home/apt;319;2;24;10/09/2018;0.75;5;90
12584863;1 Bedroom Copacabana/Leme  5 min walk to the beach;62765449;Elisabeth;;Leme;-22.96310355;-43.17241132;Private room;349;3;0;;;2;0
14301246;1 Q.em casa com piscina maravilhosa;77771977;Ana Luisa;;Centro;-22.90552725;-43.17221611;Private room;252;1;0;;;4;364
2764541;175m2 no centro da Gávea;14057280;Andrea;;Gávea;-22.98250179;-43.23712941;Entire home/apt;7512;1;0;;;1;0
10437802;1bedroom in Lagoa - Rio de Janeiro;53764751;Andre;;Lagoa;-22.96283554;-43.20404129;Private room;169;180;0;;;2;363
14110438;1km da praia e 2km da vila olimpica;84736808;Karioca;;Recreio dos Bandeirantes;-23.00565657;-43.44165047;Entire home/apt;732;1;0;;;1;365
17718631;1Q Botafogo - Wi-fi, ar, metro 10min Centro e Copa;120776963;Olga Helena;;Botafogo;-22.95282737;-43.18769066;Private room;79;1;37;29/07/2018;1.96;2;159
13230314;1Quarto individual/casal RioCentro;29070390;Ludmila;;Jacarepaguá;-22.9665887;-43.39947945;Private room;282;1;5;17/09/2017;0.17;2;363
1939328;2 Bdms,just in front of Sugar Loaf!;261954;Elisa;;Urca;-22.95173663;-43.16698932;Entire home/apt;229;1;2;15/07/2014;0.03;2;12
3203665;2 bedroom Apartment for World Cup;16234620;Marcio Luiz;;Rocha;-22.90252089;-43.24827865;Entire home/apt;500;1;0;;;1;0
14075236;2 bedrooms apartment in Copacabana Beach;84569339;Maria Ofélia;;Leme;-22.96104279;-43.16748644;Entire home/apt;800;2;0;;;1;365
2037205;2 bedrooms at Leblon;5977213;Pedro Henrique;;Leblon;-22.98631363;-43.23076716;Entire home/apt;1300;5;3;22/08/2016;0.06;2;365
20306198;2 bedrooms, 50 meters from de beach.;27215857;Ana Roberta;;Leme;-22.96096445;-43.16914173;Entire home/apt;199;3;4;6/04/2018;0.31;1;365
3157407;2 cozy rooms located in Copacabana;15976245;Nilma;;Copacabana;-22.9684705;-43.18963628;Entire home/apt;177;2;112;4/10/2018;2.17;1;107
14465366;2 qtos completo - Rua Tranquila e com segurança;89135342;Thais;;Tijuca;-22.9170872;-43.22641839;Entire home/apt;451;1;0;;;1;89
10861174;2 Qtos para Carnaval em Copacabana;56253870;Caroline;;Copacabana;-22.98198769;-43.19047308;Entire home/apt;714;1;0;;;2;0
3137100;2 qts com serviços 100 m Maracanã ;15829149;Marcos;;Maracanã;-22.91320189;-43.22284678;Entire home/apt;601;1;0;;;1;0
15099332;2 qts no melhor lugar de copacabana;95604939;Natalia;;Copacabana;-22.98226871;-43.1933556;Entire home/apt;177;1;62;26/09/2018;2.56;1;69
4165815;2 Quartos & Jardim Florido! LAPA/SANTA;5644414;Felipe;;Centro;-22.91540014;-43.18835081;Entire home/apt;120;5;1;2/01/2018;0.11;1;347
13417002;2 quartos 15minutos Parque Olímpico;76450363;Alessandra;;Freguesia (Jacarepaguá);-22.93379493;-43.3338336;Entire home/apt;699;1;0;;;1;88
16612609;2 quartos aconchegantes com ar;109645511;Luã;;Grajaú;-22.92869225;-43.26184064;Private room;300;1;0;;;1;365
22968550;2 QUARTOS COM VISTA PARA A PRAIA;170220939;Marcelo;;Leme;-22.96290461;-43.16889821;Entire home/apt;379;3;1;7/05/2018;0.19;2;130
16993720;2 Quartos Copacabana/Ipanema a 100 metros da Praia;22713969;Maria;;Copacabana;-22.98627644;-43.19103678;Entire home/apt;285;3;0;;;18;21
2979612;2 quartos em Botafogo p/ a Copa;;;;;;;;;;;;;;
13432675;2 QUARTOS EM COPACABANA;76611158;Kelen;;Copacabana;-22.9680726;-43.18738834;Entire home/apt;252;3;1;10/01/2017;0.05;1;364
13998722;2 Quartos Junto ao Parque Olímpico;13498004;Fabio;;Barra da Tijuca;-22.97394023;-43.38545851;Entire home/apt;488;4;0;;;7;365
22815175;2 QUARTOS NO LEBLON - BAIRRO NOBRE DO RIO;81626955;Maria Eustaquia;;Leblon;-22.98647144;-43.22604787;Entire home/apt;379;5;0;;;1;0
